CA113-115,CA1,CA2_1,CA2_2,CA2_3,CA3,CA4,CA4_1,CA5_1,CA5_2,CA5_3,CA5_4,CA6,CA7,CA8_1,CA9,CA10,CA10_1,CA108,CA31,CA24,CA11,CA12,CA15,CA14,CA13,CA32,CA33,CA34,CA27,CA51,CA52,CA53,CA54,CA55,CA95,CA96,CA104,CA105,CA106,CA120,CA28,CA25,CA26,CA20,CA21,CA22,CA23,CA101,CA102,CA19,CA121,CA111,CA112,SLD01,CA16,CA16_1,CA17,CA17_1,CA18,CA18_2,CA18_1,CA56,CA57,CA58,CA59,CA60,CA61,CA62,CA63,CA64,CA65,CA66_T_1,CA66_T_2,CA66_T_3,CA67,CA68,CA69_T_1,CA69_T_2,CA70,CA71,CA72,CA73,CA74,CA75,CA76,CA77,CA78,CA79,CA80,CA81,CA82,CA83,CA84,CA85,CA86,CA87,CA88,CA89_T_1,CA89_T_2,CA90,CA91,CA29,CA30,CA41,CA42,CA42_1,CA43,CA35,CA122,CA36,CA37,CA37_1,CA38,CA40,CA107,CA44,CA45,CA45_2,CA45_1,CA109,CA109_1,CA46,CA48,CA49_T_1,CA49_T_1_2,CA49_T_1_2,CA49_T_2,CA49_T_2_2,CA49_T_2_2,CA50_T_1,CA50_T_2,CA103,CA92,CA93,CA94,CA97,CA98,CA100,CA136,CA137,CA137_1,CA1-1,CA135_T_1,CA135_T_2,Life Stabilization,Employment Assistance Services,Retention Services,Specialized Services,Employer Financial Supports,Enhanced Referrals for Skills Development,Outcome
Yes,000-00-0000,John,N/A,Smith,03/16/1988,"123 Fallon Drive, Ridgetown, Ontario",N0P 2C1,8277496264,,8277496264,,jonesmith3@gmail.com,English,USA,03/16/1988,Canadian citizen,,14,Single,1,Woman,No,White,No,No,Master's Degree,2018,In Canada,"No, I do not need help, my language skills are strong",5,5,5,5,5,5,5,5,4,5,Always,Always,No,No,Homeowner,0,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Self-Employment,,none,,,4,2,No,Yes,No difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,Self-employed,permanant job,,40,120,None of the above,,,,,,,,,,36,,,,,,,Yes,1,1,5,,30,35,,,,,,,Basic Needs – Housing,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,,,Return to Work
Yes,000-00-0001,John,N/A,Doe,02/13/1987,"321 Scotts Lane, Lake Cowichan, BC",V0R 2G1,9623986575,,9623986575,,jonedoe12@gmail.com,French,CANADA,02/13/1987,Canadian citizen,,14,Divorced,0,Man,No,Latino,No,No,Bachelor's Degree,2010,In Canada,"Yes, I need help, my language skills need development",4,4,4,4,5,4,4,5,5,3,Always,Always,No,No,Renting-private,1,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,3,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,Casual job,,40,40,None of the above,,,,,,,,,,24,,,,,,,Yes,2,1,4,,40,30,,,,,,,"Basic Needs – Food Security",Job Search,,,Employer Job Trials with Financial Supports,Referrals to Educational Institutions or Funded Programs,No
Yes,000-00-0002,Jack,N/A,Jones,04/02/1992,"123 Speers Road, Brampton, Ontario",L6S 3S2,1970476885,,1970476885,,jackjones2@gmail.com,English,CANADA,04/02/1992,Canadian citizen,,15,Married,3,Woman,No,Indigenous,Yes,Yes,Bachelor's Degree,2011,In Canada,"No, I do not need help, my language skills are strong",5,5,5,5,5,5,5,4,4,4,Always,Always,Yes,No,Renting-private,0,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,3,2,No,Yes,No difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,None of the above,Unemployed and looking for work,,,,Lack of Work,,,,,20,,,,,,,Yes,2,1,4,,50,40,,,,,,,Basic Needs – Food Security,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,Referrals to Educational Institutions or Funded Programs,Return to Work
Yes,000-00-0003,Ada,N/A,Wong,08/02/1990,"321 Dora Ave #APT 121
, Kitchener, BC",N2G 4L10,"604-822-2019
",,"604-822-2019
",,adawong98@gmail.com,English,CANADA,08/02/1990,Canadian citizen,,12,Married,2,Woman,No,Middle Eastern,No,No,Bachelor's Degree,2013,Outside of Canada,"No, I do not need help, my language skills are strong",5,5,5,5,5,4,4,4,5,3,Always,Always,Yes,No,Living with family/friends,0,Not worried,No,Sometimes true,Never true,Yes,Never,Yes,No,Case-Managed,Enployment,,none,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,Sometimes,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,None of the above,Unemployed and looking for work,,,,Lack of Work,,,,,36,,,,,,,Yes,2,1,4,,50,30,,,,,,,Basic Needs – Food Security,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,,,Return to Work
Yes,000-00-0004,Joe,N/A,Ruiz,01/12/1987,"123 N New Haven Ave
, Boston Bar, BC",V0K 1C1,8197878902,,8197878902,,joeruiz3@gmail.com,English,CANADA,01/12/1987,Permanent resident,,13,Single,0,Man,No,Indigenous,Yes,Yes,Bachelor's Degree,2009,In Canada,"No, I do not need help, my language skills are strong",5,5,5,5,5,5,5,5,4,3,Always,Always,No,No,Homeowner,0,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,4,2,No,Yes,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,Sometimes,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,None of the above,Unemployed with an employment offer,,,,Lack of Work,,,,,,,,,,,,Yes,2,1,4,,40,40,,,,,,,Basic Needs – Housing,Job Search,Ongoing Job Coaching,Employer Job Carving,Employer Job Trials with Financial Supports,,Return to Work
Yes,000-00-0005,Mohammed,N/A,Abdullah,11/15/1995,"321 W 280th N
, Latulipe, Quebec", J0Z 2N1,"826-734-8228
",,"826-734-8228
",,mohama12@gmail.com,English,CANADA,11/15/1995,Canadian citizen,,22,Single,0,Man,Yes,White,No,No,Grade 12 or equivalent,2012,In Canada,"No, I do not need help, my language skills are strong",5,5,5,5,5,5,5,5,5,5,Always,Always,No,No,Renting-private,0,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,Casual job,,40,60,None of the above,,,,,,,,,,12,,,,,,,Yes,2,1,4,,40,30,,,,,,,Basic Needs – Housing,Job Search,,Employment Services for Newcomers,Employer Job Trials with Financial Supports,,Return to Work
Yes,000-00-0006,Ali,N/A,Handerson,12/21/1996,"123 County Rd #1154
, Hauterive, Quebec",G5C 1M2,"610-824-4442
",,"610-824-4442
",,alihanderson@gmail.com,English,CANADA,12/21/1996,Canadian citizen,,21,Single,0,Woman,No,South Asian,No,No,Grade 12 or equivalent,2015,In Canada,"No, I do not need help, my language skills are strong",5,5,5,5,5,4,4,4,4,3,Always,Always,No,No,Renting-private,1,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,3,2,No,Yes,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,Casual job,,40,40,None of the above,,,,,,,,,,24,,,,,,,Yes,2,1,4,,30,30,,,,,,,"Basic Needs – Housing",Job Search,Ongoing Job Coaching,Employment Services for Newcomers,,Referrals to Educational Institutions or Funded Programs,No
Yes,000-00-0007,Peter,N/A,Parker,07/18/1997,"321 S Rowe St, Pryor, Longueuil, Quebec",J4H 1M4,4148872611,,4148872611,,pparker5@outlook.com,English,CANADA,07/18/1997,Permanent resident,,10,Single,0,Woman,No,East/Southeast Asian,No,No,Bachelor's Degree,2012,Outside of Canada,"Yes, I need help, my language skills need development",3,4,4,4,5,4,4,5,5,4,Always,Always,No,No,Renting-private,1,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,3,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,Temporary,,20,20,I don't get paid enough to pay my basic expenses,,,,,,,,,,36,,,,,,,Yes,2,1,4,,30,30,,,,,,,"Basic Needs – Housing",Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,,Return to Work
Yes,000-00-0008,Andrew,N/A,Corp,09/29/1990,"123 Vidal St, Quebec, Quebec",G1R 1B9,4131871916,,4131871916,,andrewc@gmail.com,English,CANADA,09/29/1990,Canadian citizen,,13,Separated,1,Man,Yes,Black,No,No,Bachelor's Degree,2010,In Canada,"No, I do not need help, my language skills are strong",5,5,5,5,5,4,4,4,5,3,Always,Always,No,No,Living with family/friends,0,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,,Unemployed and looking for work,,,,Lack of Work,,,,,48,,,,,,,Yes,2,1,4,,30,30,,,,,,,Health Supports – Mental Health and addictions,Job Search,Ongoing Job Coaching,Employer Job Carving,Employer Job Trials with Financial Supports,,Return to Work
Yes,000-00-0009,Well,N/A,Smith,03/13/1991,"321 Oak St, Toronto, Ontario",M5J 2R9,9316967195,,9316967195,,wsmith@gmail.com,English,CANADA,03/13/1991,Canadian citizen,,5,Married,1,Man,No,Black,No,No,Grade 12 or equivalent,2014,In Canada,"Yes, I need help, my language skills need development",4,3,4,4,5,4,4,4,4,3,Sometimes,Sometimes,No,No,Renting-subsidized,0,Not worried,No,Sometimes true,Sometimes true,Already applied,Never,No,No,Case-Managed,No Source of Income,,none,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,Sometimes,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,,Unemployed and looking for work,,,,Laid Off,,,,,20,,,,,,,Yes,3,1,4,,40,36,,,,,,,,Job Search,Ongoing Job Coaching,,,Referrals to Educational Institutions or Funded Programs,Return to Work
Yes,000-00-0010,Pamela,N/A,Miller,07/13/1987,Unit 5208 Box 7630,M2N5T3,805-770-8014,,,,Pamela553@gmail.com,English,CANADA,08/19/2017,Canadian citizen,,4,Single,2,Woman,No,White,No,No,Bachelor's Degree,2015,In Canada,"No, I do not need help, my language skills are strong",4,5,5,5,5,5,4,4,3,3,Always,Always,No,No,Renting-private,1,Not worried,No,Never true,Never true,Yes,Never,No,No,Case-Managed,Enployment,,none,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,,Unemployed and looking for work,,,,Lack of Work,,,,,72,,,,,,,Yes,2,1,4,,50,35,,,,,,,,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,Referrals to Educational Institutions or Funded Programs,No
Yes,000-00-0011,Stanley,N/A,Mercado,09/19/1992,"797 Miller Flats Apt. 837, Terryside, NU",M2N5T3,554-456-1592,,,,tinatrevino@gmail.com,English,CANADA,08/20/2017,Canadian citizen,,7,Single,0,Woman,No,Latino,No,No,Bachelor's Degree,2018,In Canada,"No, I do not need help, my language skills are strong",3,4,4,4,5,5,4,5,5,3,Always,Always,No,No,Renting-private,0,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,,Unemployed and looking for work,,,,Laid Off,,,,,54,,,,,,,Yes,3,1,4,,50,30,,,,,,,,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,Referrals to Educational Institutions or Funded Programs,Return to Work
Yes,000-00-0012,Raymond,N/A,Lee,11/11/1977,"7295 Rebecca Fields, North Stevenchester, NL",H1L5N4,573-036-1835,,,,jeffreyross@gmail.com,English,CANADA,08/21/2017,Canadian citizen,,8,Single,1,Man,No,Asian,No,No,Bachelor's Degree,2018,In Canada,"No, I do not need help, my language skills are strong",5,3,5,5,5,5,4,4,4,4,Always,Sometimes,No,No,Renting-private,0,Not worried,No,Never true,Never true,No,Never,No,No,Case-Managed,Enployment,,none,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,0,,,,,,,Unemployed and looking for work,,,,Lack of Work,,,,,36,,,,,,,Yes,2,1,4,,40,40,,,,,,,,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,,,No
